eco_code,percentage_of_use %,percentage_of_win %,number_of_use,number_of_wins
B90,28.000000000000004,14.285714285714285,84,12
B40,10.333333333333334,19.35483870967742,31,6
B52,10.0,6.666666666666667,30,2
B48,7.000000000000001,19.047619047619047,21,4
B43,6.666666666666667,35.0,20,7
C07,4.666666666666667,21.428571428571427,14,3
E04,2.666666666666667,12.5,8,1
C01,2.666666666666667,12.5,8,1
B80,2.666666666666667,62.5,8,5
C02,2.3333333333333335,0.0,7,
C78,2.0,16.666666666666664,6,1
C08,2.0,0.0,6,
B45,1.3333333333333335,25.0,4,1
C67,1.3333333333333335,50.0,4,2
B46,1.3333333333333335,50.0,4,2
E00,1.3333333333333335,0.0,4,
B33,1.3333333333333335,50.0,4,2
E01,1.0,33.33333333333333,3,1
D37,1.0,0.0,3,
B50,1.0,0.0,3,
E10,1.0,33.33333333333333,3,1
B51,1.0,33.33333333333333,3,1
D35,0.6666666666666667,50.0,2,1
B69,0.6666666666666667,0.0,2,
B44,0.6666666666666667,50.0,2,1
E17,0.6666666666666667,50.0,2,1
C83,0.6666666666666667,0.0,2,
C41,0.6666666666666667,50.0,2,1
B22,0.33333333333333337,0.0,1,
E16,0.33333333333333337,0.0,1,
C65,0.33333333333333337,0.0,1,
A13,0.33333333333333337,0.0,1,
B23,0.33333333333333337,100.0,1,1
A20,0.33333333333333337,0.0,1,
B89,0.33333333333333337,0.0,1,
B42,0.33333333333333337,0.0,1,
C00,0.33333333333333337,100.0,1,1
B30,0.33333333333333337,0.0,1,
