eco_code,percentage_of_use %,percentage_of_win %,number_of_use,number_of_wins
B90,25.0%,8.0%,75,6
B48,10.67%,34.38%,32,11
E10,8.67%,15.38%,26,4
E00,5.0%,6.67%,15,1
E04,4.67%,28.57%,14,4
B42,4.0%,16.67%,12,2
B80,3.67%,27.27%,11,3
D02,3.33%,10.0%,10,1
A13,3.33%,20.0%,10,2
C01,2.67%,12.5%,8,1
E01,2.67%,0.0%,8,0
B52,2.33%,0.0%,7,0
C02,2.33%,0.0%,7,0
C67,2.0%,0.0%,6,0
B40,2.0%,16.67%,6,1
D35,2.0%,0.0%,6,0
B33,2.0%,33.33%,6,2
B51,2.0%,0.0%,6,0
D37,1.33%,0.0%,4,0
B50,1.0%,33.33%,3,1
B43,1.0%,33.33%,3,1
A15,0.67%,50.0%,2,1
B46,0.67%,0.0%,2,
B54,0.67%,0.0%,2,
C78,0.67%,0.0%,2,
B44,0.67%,0.0%,2,
E16,0.67%,0.0%,2,
E17,0.33%,0.0%,1,
C79,0.33%,0.0%,1,
D49,0.33%,0.0%,1,
A04,0.33%,0.0%,1,
D31,0.33%,0.0%,1,
D30,0.33%,0.0%,1,
B84,0.33%,0.0%,1,
D45,0.33%,0.0%,1,
E15,0.33%,100.0%,1,1
D59,0.33%,0.0%,1,
C65,0.33%,0.0%,1,
B23,0.33%,0.0%,1,
E09,0.33%,0.0%,1,
